zr_conc,runs,reach_fraction_target,mean_time_to_target_seconds,std_time_to_target_seconds,median_time_to_target_seconds
3.38305,48,1.0,149.24105839374923,135.8766399455455,108.9292671872135
6.7661,24,1.0,161.7634568122201,132.99868460561942,143.11091555248544
13.53221,24,1.0,147.9065747554551,125.2194125337059,115.60642319074637
22.758707,24,1.0,231.9767072667638,177.58510930354393,240.68476515353595
27.06441,24,1.0,190.9064545709817,145.0615094512351,175.6897709360049
42.134365,24,1.0,172.40874750571015,115.81254331321061,145.5883713821728
54.12882,24,1.0,196.63534849371223,223.4770734187243,143.53558036205203
61.510022,24,1.0,211.96970263498045,140.85140628128093,191.68125390787287
80.885679,24,1.0,256.52947192678505,264.2606394610327,169.77097069819575
100.261336,24,1.0,202.33054520363004,142.90417898625057,188.9175866319734
108.25764,24,1.0,348.2791773507097,290.2041654491428,289.3423607595645
119.636994,24,1.0,336.0061095159407,430.14245040520166,182.4713410702518
139.012651,24,1.0,295.2359597639812,244.57769042379428,227.75003975449977
158.388308,24,1.0,350.91957549162447,409.02834336640683,223.5875623300608
177.763965,24,1.0,462.2698477364598,520.9112379179683,289.10119369340333
197.139623,24,1.0,379.75766069157686,290.93162194274123,302.9633559356268
216.51528,48,1.0,408.95596529721024,390.1552173796814,265.86753946763133
