zr,free_linker_fraction,prebound_zr6_cluster_fraction,prebound_linker_fraction,free_zr6_fraction_for_growth,legacy_external_addition_activity,total_external_addition_channel_activity,init_free_linker_rate,init_prebound_rate,init_external_total,init_prebound_share,formate_benzoate_ratio_t0,dissolution_probability_t0
1,0.998255698122713,0.2004151202547911,0.0017443018772869642,0.981534074744567,0.989859577422661,2.180204893122071,11.979068377472556,2.404981443057493,14.384049820530048,0.16719779707832452,53.153526896160585,0.9815339820448352
2,0.9965173765932515,0.20010561833470625,0.0034826234067485886,0.981565730003723,0.9890132993125774,2.178188724931681,11.958208519119017,2.4012674200164748,14.359475939135493,0.16722528246814572,53.24624772807049,0.9815655452334164
3,0.994785005190961,0.1997970498308068,0.005214994809038979,0.9815972786199585,0.9881691423574147,2.176179333641726,11.937420062291533,2.3975645979696814,14.334984660261215,0.16725267970576205,53.33897356969661,0.981597002403489
4,0.9930585538951805,0.19948941063462253,0.006941446104819485,0.9816287211225757,0.9873270979062412,2.1741766856523785,11.916702646742166,2.39387292761547,14.310575574357637,0.16727998920636877,53.43170439576302,0.9816283540796521
5,0.9913379928836176,0.1991826966610205,0.008662007116382436,0.9816600580374387,0.9864871573562679,2.1721807475820767,11.89605591460341,2.390192359932246,14.286248274535657,0.1673072113826143,53.524440181160784,0.9816596007831087
6,0.9896232925307407,0.19887690384804455,0.010376707469259326,0.9816912898870015,0.9856493121525142,2.1701914862657867,11.875479510368887,2.3865228461765344,14.262002356545421,0.1673343466446183,53.61718090094667,0.9816907430316919
7,0.9879144234061863,0.19857202815675867,0.012085576593813702,0.9817224171903342,0.9848135537874753,2.168208868753279,11.854973080874235,2.382864337881104,14.237837418755339,0.16736139539999131,53.70992653034175,0.9817217813398925
8,0.9862113562731812,0.19826806557108914,0.013788643726818817,0.981753440463151,0.9839798738007938,2.1662328623074214,11.834536275278175,2.37921678685307,14.213753062131245,0.1673883580538527,53.80267704473006,0.9817527162188847
9,0.9845140620869796,0.19796501209767078,0.015485937913020359,0.9817843602178354,0.9831482637789315,2.1642634344024856,11.814168745043755,2.3755801451720493,14.189748890215805,0.16741523500885014,53.89543241965739,0.9817835481765527
10,0.9828225119933157,0.1976628637656911,0.01717748800668426,0.9818151769634685,0.9823187153548475,2.1623005527224755,11.793870143919788,2.371954365188293,14.16582450910808,0.167442026665177,53.98819263082982,0.9818142777175161
11,0.98113667732687,0.19736161662673848,0.018863322673129873,0.9818458912058525,0.9814912202076744,2.160344185159461,11.773640127922441,2.368339399520862,14.141979527443302,0.1674687334205913,54.08095765411259,0.9818449053431565
12,0.9794565296097514,0.1970612667546495,0.020543470390248595,0.9818765034475391,0.9806657700624019,2.15839429981194,11.753478355317016,2.364735201055794,14.11821355637281,0.16749535567043308,54.17372746552868,0.9818754315516425
13,0.9777820405499918,0.19676181024535944,0.022217959450008134,0.9819070141878536,0.9798423566895592,2.1564508649832046,11.733384486599903,2.3611417229443132,14.094526209544217,0.16752189380764343,54.26650204125763,0.9819058568379544
14,0.9761131820400574,0.19646324321675124,0.023886817959942568,0.9819374239229204,0.9790209719049019,2.154513849179729,11.713358184480688,2.357558918601015,14.070917103081703,0.16754834822278078,54.3592813576343,0.9819361816939104
15,0.9744499261553716,0.19616556180850864,0.02555007384462831,0.9819677331456893,0.9782016075691016,2.1525832211095697,11.693399113864459,2.3539867417021036,14.047385855566562,0.16757471930403967,54.45206539114753,0.9819664066081902
16,0.9727922451528538,0.19586876218196805,0.02720775484714629,0.9819979423459589,0.9773842555874369,2.1506589496807806,11.673506941834246,2.3504251461836168,14.023932088017862,0.16760100743726755,54.54485411843903,0.9819965320663605
17,0.9711401114694698,0.19557284051997287,0.028859888530530134,0.9820280520104023,0.9765689079094871,2.148741003999845,11.653681337633637,2.3468740862396746,14.000555423873312,0.16762721300598246,54.63764751630206,0.9820265585508986
18,0.969493497720799,0.1952777930267285,0.030506502279201063,0.9820580626225911,0.9757555565288303,2.146829353370119,11.633921972649588,2.343333516320742,13.97725548897033,0.16765333639138977,54.73044556168028,0.9820564865412167
19,0.9678523766996111,0.19498361592765848,0.03214762330038899,0.9820879746630203,0.9749441934827408,2.14492396729029,11.614228520395333,2.339803391131902,13.954031911527235,0.16767937797239968,54.82324823166651,0.9820863165136862
20,0.9662167213744595,0.1946903054692619,0.033783278625540605,0.9821177886091309,0.9741348108518907,2.1430248154528524,11.594600656493514,2.3362836656311425,13.930884322124657,0.1677053381256436,54.91605550350163,0.9821160489416608
21,0.9645865048882859,0.1943978579189716,0.03541349511171404,0.9821475049353355,0.9733274007600556,2.141131867742593,11.57503805865943,2.3327742950276593,13.90781235368709,0.1677312172254912,55.0088673545733,0.9821456842955003
22,0.9629617005570393,0.19410626956501353,0.03703829944296063,0.9821771241130408,0.9725219553738188,2.139245094235094,11.555540406684472,2.3292752347801624,13.884815641464634,0.16775701564406653,55.10168376241483,0.9821752230425934
23,0.9613422818683062,0.19381553671626808,0.03865771813169376,0.9822066466106707,0.9717184669022809,2.137364465195245,11.536107382419674,2.325786440595217,13.861893823014892,0.16778273375126532,55.19450470470409,0.9822046656473815
24,0.9597282224799552,0.1935256557021304,0.04027177752004497,0.9822360728936905,0.9709169275967708,2.135489951075776,11.516738669759462,2.3223078684255647,13.839046538185027,0.1678083719147701,55.28733015926226,0.9822340125713807
